"modifier_code","name","kana","category","valid_from","valid_to","change_type","raw_record"
"","１度","１ド","0","","27000007","0","IjAiLCJaIiwiODA1MCIsIiIsIiIsIjIiLCLvvJHluqYiLCIiLCIyIiwi77yR44OJIiwiIiwiMCIsIjAiLCIiLCIiLCI5OTk5OTk5OSIsIjI3MDAwMDA3IiwiNDkzMyIsIkE4MDAwMDAwIg=="
"","２０型","２０ガタ","0","","27002128","0","IjAiLCJaIiwiODE2NiIsIiIsIiIsIjMiLCLvvJLvvJDlnosiLCIiLCI0Iiwi77yS77yQ44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMjgiLCIwOThNIiwiQTgwMDAwMDAi"
"","・２０週","２０シュウ","0","","27001903","0","IjAiLCJaIiwiODA5OCIsIiIsIiIsIjQiLCLjg7vvvJLvvJDpgLEiLCIiLCI1Iiwi77yS77yQ44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE5MDMiLCI2UkpOIiwiQTgwMDAwMDAi"
"","２０週","２０シュウ","0","","27000050","0","IjAiLCJaIiwiNzA5MiIsIiIsIiIsIjMiLCLvvJLvvJDpgLEiLCIiLCI1Iiwi77yS77yQ44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNTAiLCI1MzQwIiwiQTcwMDAwMDAi"
"","２１型","２１ガタ","0","","27002129","0","IjAiLCJaIiwiODE2NyIsIiIsIiIsIjMiLCLvvJLvvJHlnosiLCIiLCI0Iiwi77yS77yR44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMjkiLCIyNFVFIiwiQTgwMDAwMDAi"
"","２１週","２１シュウ","0","","27000051","0","IjAiLCJaIiwiNzA5MyIsIiIsIiIsIjMiLCLvvJLvvJHpgLEiLCIiLCI1Iiwi77yS77yR44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNTEiLCI1MzQxIiwiQTcwMDAwMDAi"
"","・２１週","２１シュウ","0","","27001904","0","IjAiLCJaIiwiODA5OSIsIiIsIiIsIjQiLCLjg7vvvJLvvJHpgLEiLCIiLCI1Iiwi77yS77yR44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE5MDQiLCI5Vk03IiwiQTgwMDAwMDAi"
"","２２型","２２ガタ","0","","27002130","0","IjAiLCJaIiwiODE2OCIsIiIsIiIsIjMiLCLvvJLvvJLlnosiLCIiLCI0Iiwi77yS77yS44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMzAiLCI4OFFSIiwiQTgwMDAwMDAi"
"","２２週","２２シュウ","0","","27000052","0","IjAiLCJaIiwiNzA5NCIsIiIsIiIsIjMiLCLvvJLvvJLpgLEiLCIiLCI1Iiwi77yS77yS44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNTIiLCI1MzQyIiwiQTcwMDAwMDAi"
"","・２２週","２２シュウ","0","","27001905","0","IjAiLCJaIiwiODEwMCIsIiIsIiIsIjQiLCLjg7vvvJLvvJLpgLEiLCIiLCI1Iiwi77yS77yS44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE5MDUiLCI3MjY0IiwiQTgwMDAwMDAi"
"","２３型","２３ガタ","0","","27002131","0","IjAiLCJaIiwiODE2OSIsIiIsIiIsIjMiLCLvvJLvvJPlnosiLCIiLCI0Iiwi77yS77yT44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMzEiLCI4RlRVIiwiQTgwMDAwMDAi"
"","２３週","２３シュウ","0","","27000053","0","IjAiLCJaIiwiNzA5NSIsIiIsIiIsIjMiLCLvvJLvvJPpgLEiLCIiLCI1Iiwi77yS77yT44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNTMiLCI1MzQzIiwiQTcwMDAwMDAi"
"","・２３週","２３シュウ","0","","27001906","0","IjAiLCJaIiwiODEwMSIsIiIsIiIsIjQiLCLjg7vvvJLvvJPpgLEiLCIiLCI1Iiwi77yS77yT44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE5MDYiLCIzTUU2IiwiQTgwMDAwMDAi"
"","２４型","２４ガタ","0","","27002132","0","IjAiLCJaIiwiODE3MCIsIiIsIiIsIjMiLCLvvJLvvJTlnosiLCIiLCI0Iiwi77yS77yU44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMzIiLCIxQzY2IiwiQTgwMDAwMDAi"
"","２４週","２４シュウ","0","","27000054","0","IjAiLCJaIiwiNzA5NiIsIiIsIiIsIjMiLCLvvJLvvJTpgLEiLCIiLCI1Iiwi77yS77yU44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNTQiLCI1MzQ0IiwiQTcwMDAwMDAi"
"","・２４週","２４シュウ","0","","27001907","0","IjAiLCJaIiwiODEwMiIsIiIsIiIsIjQiLCLjg7vvvJLvvJTpgLEiLCIiLCI1Iiwi77yS77yU44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE5MDciLCIzQVE2IiwiQTgwMDAwMDAi"
